material,orderlimit,Var_qty,bo_qty,diff
RBL13Y10,36,0.0,66.66666666666667,66.66666666666667
RBL13Y10,42,0.0,66.66666666666667,66.66666666666667
RBL13Y10,48,0.0,66.66666666666667,66.66666666666667
RBL13Y10,54,0.0,66.66666666666667,66.66666666666667
RBWP01Y10,6,4.1938200260161125,40.0,35.80617997398389
RBWP01Y10,12,0.0,40.0,40.0
RBWP01Y10,18,0.0,40.0,40.0
RBWP01Y10,24,0.0,40.0,40.0
RBWP01Y10,30,0.0,40.0,40.0
RBWP01Y10,36,0.0,40.0,40.0
RBWP01Y10,42,0.0,40.0,40.0
RBWP01Y10,48,0.0,40.0,40.0
RBWP01Y10,54,0.0,40.0,40.0
RBWP02Y10,6,4.1938200260161125,40.0,35.80617997398389
RBWP02Y10,12,0.0,40.0,40.0
RBWP02Y10,18,0.0,40.0,40.0
RBWP02Y10,24,0.0,40.0,40.0
RBWP02Y10,30,0.0,40.0,40.0
RBWP02Y10,36,0.0,40.0,40.0
RBWP02Y10,42,0.0,40.0,40.0
RBWP02Y10,48,0.0,40.0,40.0
RBWP02Y10,54,0.0,40.0,40.0
RDF01,3,20.497373907247606,5.016666666666667,15.48070724058094
RDF01,6,1.2503675803502006,5.016666666666667,3.766299086316466
RDF01,9,0.0,5.016666666666667,5.016666666666667
RDF01,12,0.0,5.016666666666667,5.016666666666667
RDF01,15,0.0,5.016666666666667,5.016666666666667
RDF01,18,0.0,5.016666666666667,5.016666666666667
RDF01,21,0.0,5.016666666666667,5.016666666666667
RDF01,24,0.0,5.016666666666667,5.016666666666667
RDF01,27,0.0,5.016666666666667,5.016666666666667
RDF02,3,12.581460078048337,5.016666666666667,7.564793411381671
RDF02,6,0.0,5.016666666666667,5.016666666666667
RDF02,9,0.0,5.016666666666667,5.016666666666667
RDF02,12,0.0,5.016666666666667,5.016666666666667
RDF02,15,0.0,5.016666666666667,5.016666666666667
RDF02,18,0.0,5.016666666666667,5.016666666666667
RDF02,21,0.0,5.016666666666667,5.016666666666667
RDF02,24,0.0,5.016666666666667,5.016666666666667
RDF02,27,0.0,5.016666666666667,5.016666666666667
RDF03,3,12.581460078048337,15.049999999999999,2.4685399219516615
RDF03,6,0.0,15.049999999999999,15.049999999999999
RDF03,9,0.0,15.049999999999999,15.049999999999999
RDF03,12,0.0,15.049999999999999,15.049999999999999
RDF03,15,0.0,15.049999999999999,15.049999999999999
RDF03,18,0.0,15.049999999999999,15.049999999999999
RDF03,21,0.0,15.049999999999999,15.049999999999999
RDF03,24,0.0,15.049999999999999,15.049999999999999
RDF03,27,0.0,15.049999999999999,15.049999999999999
RDF04,3,12.581460078048337,5.016666666666667,7.564793411381671
RDF04,6,0.0,5.016666666666667,5.016666666666667
RDF04,9,0.0,5.016666666666667,5.016666666666667
RDF04,12,0.0,5.016666666666667,5.016666666666667
RDF04,15,0.0,5.016666666666667,5.016666666666667
RDF04,18,0.0,5.016666666666667,5.016666666666667
RDF04,21,0.0,5.016666666666667,5.016666666666667
RDF04,24,0.0,5.016666666666667,5.016666666666667
RDF04,27,0.0,5.016666666666667,5.016666666666667
RDF05,3,12.581460078048337,9.566666666666665,3.014793411381673
RDF05,6,0.0,9.566666666666665,9.566666666666665
RDF05,9,0.0,9.566666666666665,9.566666666666665
RDF05,12,0.0,9.566666666666665,9.566666666666665
RDF05,15,0.0,9.566666666666665,9.566666666666665
RDF05,18,0.0,9.566666666666665,9.566666666666665
RDF05,21,0.0,9.566666666666665,9.566666666666665
RDF05,24,0.0,9.566666666666665,9.566666666666665
RDF05,27,0.0,9.566666666666665,9.566666666666665
RDF06,3,12.581460078048337,5.016666666666667,7.564793411381671
RDF06,6,0.0,5.016666666666667,5.016666666666667
RDF06,9,0.0,5.016666666666667,5.016666666666667
RDF06,12,0.0,5.016666666666667,5.016666666666667
RDF06,15,0.0,5.016666666666667,5.016666666666667
RDF06,18,0.0,5.016666666666667,5.016666666666667
