material,unit_qty,total_qty,order#,ip,mtrl_total_qty,cumsumqty,prop,cumsum_prop,orderlimit,unit_qty2,order#2,total_qty2,Var_qty
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,42,42.0,1.234083206033368,51.83149465340146,20.168505346598543
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,42,42.0,1.3853508813640172,58.184737017288725,43.815262982711275
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,48,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,48,12.0,4.0,48.0,0.0
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,48,48.0,1.0,48.0,0.0
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,48,48.0,1.1760912590556813,56.452380434672705,15.547619565327295
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,48,48.0,1.3273589343863303,63.71322885054386,38.28677114945614
AC01,6.0,768.0,128.0,6.0,1038.0,768.0,0.7398843930635838,0.7398843930635838,54,6.0,128.0,768.0,0.0
AC01,12.0,48.0,4.0,6.0,1038.0,816.0,0.046242774566473986,0.7861271676300579,54,12.0,4.0,48.0,0.0
AC01,48.0,48.0,1.0,6.0,1038.0,864.0,0.046242774566473986,0.8323699421965318,54,48.0,1.0,48.0,0.0
AC01,72.0,72.0,1.0,6.0,1038.0,936.0,0.06936416184971098,0.9017341040462428,54,54.0,1.1249387366083,60.746691776848195,11.253308223151805
AC01,102.0,102.0,1.0,6.0,1038.0,1038.0,0.09826589595375723,1.0,54,54.0,1.2762064119389491,68.91514624470325,33.08485375529675
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,2,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,2,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,2,2.0,1480.5721350656106,2961.144270131221,1590.8557298687788
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,2,2.0,259.97334083066056,519.9466816613211,536.0533183386789
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,2,2.0,27.23501985257536,54.47003970515072,81.52996029484927
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,2,2.0,1.6532125137753437,3.3064250275506875,5.693574972449312
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,2,2.0,11.892790030352131,23.785580060704262,46.21441993929574
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,2,2.0,49.78823501074202,99.57647002148404,236.42352997851594
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,2,2.0,5.862727528317975,11.72545505663595,42.27454494336405
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,2,2.0,14.554268722333372,29.108537444666744,138.89146255533325
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,2,2.0,13.531635030619835,27.06327006123967,188.93672993876032
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,2,2.0,2.380211241711606,4.760422483423212,43.23957751657679
